account_id,yr,mon,date,M_IN,M_OUT,Balance
1,1995,3,1995-03-24,1000,0,1000
1,1995,4,1995-04-13,16298,0,16298
1,1995,5,1995-05-13,5858,0,5858
1,1995,6,1995-06-13,3780,200,3580
1,1995,7,1995-07-13,3788,5300,-1512
1,1995,8,1995-08-13,3778,7515,-3737
1,1995,9,1995-09-13,3771,3167,604
1,1995,10,1995-10-13,3770,5367,-1597
1,1995,11,1995-11-13,3764,5237,-1473
1,1995,12,1995-12-13,3758,4607,-849
1,1996,1,1996-01-13,3743,8337,-4594
1,1996,2,1996-02-13,3839,2467,1372
1,1996,3,1996-03-13,3945,2467,1478
1,1996,4,1996-04-13,3747,4467,-720
1,1996,5,1996-05-13,3742,5027,-1285
1,1996,6,1996-06-13,5145,2827,2318
1,1996,7,1996-07-13,4752,3457,1295
1,1996,8,1996-08-13,6155,5017,1138
1,1996,9,1996-09-13,3758,4167,-409
1,1996,10,1996-10-13,3752,5737,-1985
1,1996,11,1996-11-13,3751,5267,-1516
1,1996,12,1996-12-13,3738,6347,-2609
1,1997,1,1997-01-13,4934,4777,157
1,1997,2,1997-02-13,5437,3667,1770
1,1997,3,1997-03-13,3731,7067,-3336
1,1997,4,1997-04-13,3729,2467,1262
1,1997,5,1997-05-13,3733,3637,96
1,1997,6,1997-06-13,3734,2467,1267
1,1997,7,1997-07-13,5243,2467,2776
1,1997,8,1997-08-13,3746,4537,-791
1,1997,9,1997-09-13,3744,2857,887
1,1997,10,1997-10-13,3751,2467,1284
1,1997,11,1997-11-13,3751,3567,184
1,1997,12,1997-12-13,3741,7167,-3426
1,1998,1,1998-01-13,3735,5357,-1622
1,1998,2,1998-02-13,4235,2467,1768
1,1998,3,1998-03-13,3742,3277,465
1,1998,4,1998-04-13,3739,3697,42
1,1998,5,1998-05-13,3746,2467,1279
1,1998,6,1998-06-13,3751,2917,834
1,1998,7,1998-07-13,3754,2467,1287
1,1998,8,1998-08-13,3756,2737,1019
1,1998,9,1998-09-13,3738,8967,-5229
1,1998,10,1998-10-13,3742,2467,1275
1,1998,11,1998-11-13,3746,2977,769
1,1998,12,1998-12-13,3732,6952,-3220
2,1993,2,1993-02-26,1100,0,1100
2,1993,3,1993-03-12,23950,0,23950
2,1993,4,1993-04-12,20346,11000,9346
2,1993,5,1993-05-12,20381,17600,2781
2,1993,6,1993-06-12,30514,22400,8114
2,1993,7,1993-07-12,20439,26660,-6221
2,1993,8,1993-08-12,20390,32467,-12077
2,1993,9,1993-09-12,20363,25581,-5218
2,1993,10,1993-10-12,20337,14281,6056
2,1993,11,1993-11-12,20375,16381,3994
2,1993,12,1993-12-12,30492,34477,-3985
2,1994,1,1994-01-12,20351,28154,-7803
2,1994,2,1994-02-12,20344,14154,6190
2,1994,3,1994-03-12,20365,15554,4811
2,1994,4,1994-04-12,20386,18254,2132
2,1994,5,1994-05-12,20373,33254,-12881
2,1994,6,1994-06-12,30480,21454,9026
2,1994,7,1994-07-12,20357,18754,1603
2,1994,8,1994-08-12,20379,18454,1925
2,1994,9,1994-09-12,20375,27495,-7120
2,1994,10,1994-10-12,20366,14054,6312
2,1994,11,1994-11-12,20374,21354,-980
2,1994,12,1994-12-12,30503,28654,1849
2,1995,1,1995-01-12,20354,32854,-12500
2,1995,2,1995-02-12,21046,13354,7692
2,1995,3,1995-03-12,20371,14854,5517
2,1995,4,1995-04-12,20382,28080,-7698
2,1995,5,1995-05-12,20358,23254,-2896
2,1995,6,1995-06-12,30497,16926,13571
2,1995,7,1995-07-12,20398,19054,1344
2,1995,8,1995-08-12,20366,37034,-16668
2,1995,9,1995-09-12,20346,12254,8092
2,1995,10,1995-10-12,20358,22890,-2532
2,1995,11,1995-11-12,20369,12154,8215
2,1995,12,1995-12-12,30517,26154,4363
2,1996,1,1996-01-12,20536,37181,-16645
2,1996,2,1996-02-12,26171,10781,15390
2,1996,3,1996-03-12,20422,19881,541
2,1996,4,1996-04-12,20403,36226,-15823
2,1996,5,1996-05-12,27062,25758,1304
