account_id,FeesOnTheAccount,T_Total_Months,T_Total_amount,T_monthly_average,W_Total_Months,W_count,W_Total_amount,W_monthly_average
1,15,40,98080,2452.0000,42,57,82190,1956.9048
2,15,65,553242,8511.4154,69,172,1000242,14566.6311
3,15,12,65013,5417.7500,16,19,56760,3584.8421
4,15,29,98812,3407.3103,29,33,59390,2057.3903
5,15,13,37352,2873.2308,13,21,31840,2481.0390
6,15,47,185838,3954.0000,47,54,113440,2413.6170
7,15,19,97600,5136.8421,24,39,463880,19142.2283
8,15,34,319628,9400.8235,38,67,500020,13322.0249
9,15,0,0,0.0000,68,111,335300,4897.2736
10,15,22,161759,7352.6818,26,51,328560,12540.4580
11,15,34,74620,2194.7059,31,38,42340,1388.1967
12,15,14,53880,3848.5714,17,22,41220,2405.8366
13,15,10,26884,2688.4000,13,22,70450,5296.9925
14,15,19,72580,3820.0000,23,32,300400,13023.1214
15,15,59,181248,3072.0000,62,119,958980,15542.6256
16,15,0,0,0.0000,13,18,314040,24923.8095
17,15,1,8064,0.0000,20,18,149507,7627.9082
18,30,0,0,0.0000,61,117,1821920,29998.6828
19,15,7,20184,2883.4286,43,103,761552,17710.5116
20,15,23,48072,2090.0870,23,16,20120,879.8834
21,15,8,56484,7060.5000,10,11,66000,6449.5114
22,15,52,330304,6352.0000,56,88,700800,12529.2014
23,15,62,360034,5807.0000,67,109,1195440,17976.5414
24,15,20,165102,8255.1000,23,26,167880,7299.1304
25,15,27,248733,9212.3333,28,73,1215058,43291.8527
26,15,60,623220,10387.0000,63,98,1085537,17122.0347
27,15,58,235132,4054.0000,61,101,350400,5722.3734
29,15,45,339989,7555.3111,48,89,583560,12098.6869
30,15,0,0,0.0000,43,108,2258196,52516.1860
31,15,53,540706,10202.0000,52,112,2355695,45013.2803
32,15,0,0,0.0000,39,63,644100,16715.3979
33,15,59,229628,3892.0000,63,95,1329300,21223.5232
34,30,59,387246,6563.4915,63,107,1757272,27790.2794
35,15,61,145424,2384.0000,60,70,192310,3182.1842
36,15,62,252278,4069.0000,64,131,1103760,17121.4064
37,15,13,75280,5790.7692,15,38,375655,24446.0954
38,30,12,107007,8917.2500,15,25,156319,10731.2815
39,15,59,183785,3115.0000,60,99,213980,3594.2889
40,15,58,251372,4334.0000,61,60,189000,3105.1479
41,15,0,0,0.0000,15,23,227000,15303.3708
42,15,23,143849,6254.3043,27,42,140320,5222.8288
43,15,50,329450,6589.0000,54,109,1060280,19610.6042
44,15,63,147672,2344.0000,62,60,114210,1830.2885
45,15,0,0,0.0000,12,17,53600,4660.8696
47,15,61,442789,7258.8361,65,130,1983904,30742.3140
48,15,19,145940,7681.0526,24,39,416920,17371.6667
49,15,15,49632,3308.8000,14,18,34060,2432.8571
50,15,51,371943,7293.0000,54,107,542700,9976.1029
51,15,26,109480,4210.7692,31,50,502200,16393.9064
52,15,18,81377,4520.9444,22,40,540132,24551.4545
53,15,39,111189,2851.0000,38,33,60750,1582.0313
54,15,40,91200,2280.0000,37,42,36210,980.4152
55,15,28,89494,3196.2143,30,27,48960,1659.6610
56,15,51,412080,8080.0000,55,74,439360,7949.8191
57,15,39,160173,4107.0000,43,91,785700,18371.7849
58,15,0,0,0.0000,25,60,152777,6210.4472
59,15,53,364905,6885.0000,56,104,495620,8860.9058
61,15,56,128860,2301.0714,53,56,98410,1866.1820
62,15,65,147745,2273.0000,64,92,192390,2987.4224
63,15,20,50117,2505.8500,20,21,45790,2312.6263
64,0,0,0,0.0000,16,14,98100,6131.2500
65,15,22,162844,7402.0000,25,41,487500,19474.0346
66,100,0,0,0.0000,60,137,2883932,47852.8540
67,15,46,480508,10445.8261,50,119,1758062,35302.4498
68,100,44,134013,3045.7500,48,110,1635893,34415.7013
69,15,0,0,0.0000,33,40,218350,6623.3569
70,15,42,174300,4150.0000,44,61,261500,5898.4962
71,15,54,232038,4297.0000,57,112,1080300,19064.1176
72,30,29,272455,9395.0000,30,64,1359209,44759.9012
73,15,58,351538,6061.0000,60,123,898960,14982.6667
75,15,36,121284,3369.0000,39,62,408500,10537.4033
76,15,26,140616,5408.3077,28,37,139300,4933.8843
77,15,0,0,0.0000,23,32,454012,19739.6522
78,15,61,551379,9039.0000,65,129,643500,9940.7827
79,15,20,58548,2927.4000,21,16,26080,1268.0713
80,15,34,76568,2252.0000,33,33,31110,936.1083
81,15,24,51109,2129.5417,26,46,47850,1871.5776
82,15,0,0,0.0000,56,137,2377702,42687.6481
83,15,64,393600,6150.0000,67,93,297840,4416.8067
84,100,32,410916,12841.1250,35,52,721180,20605.1429
85,15,16,65127,4070.4375,18,21,64220,3567.7778
86,15,66,141690,2146.8182,65,73,68820,1052.2936
88,15,25,58968,2358.7200,24,28,20790,867.4548
89,15,0,0,0.0000,12,18,60500,5084.0336
90,15,49,484218,9882.0000,52,102,922920,17714.3954
91,15,0,0,0.0000,21,29,270518,12800.5363
93,15,0,0,0.0000,28,51,227000,8107.1429
95,15,0,0,0.0000,43,85,1101200,25471.0871
96,15,66,246662,3737.3030,70,187,3084878,44027.7545
97,15,27,209642,7764.5185,30,59,378300,12610.0000
98,15,15,36339,2422.6000,16,19,42420,2623.9175
99,15,33,293920,8906.6667,37,57,961416,25984.2162
100,15,56,443912,7927.0000,59,93,363660,6181.1898
101,15,27,248121,9189.6667,30,55,353920,11797.3333
102,15,38,132004,3473.7895,59,91,726482,12327.1833
103,15,11,81070,7370.0000,29,70,757000,26468.5315
104,15,64,130688,2042.0000,60,61,56880,943.8053
105,15,0,7348,0.0000,15,21,230819,15882.0413
106,15,45,168075,3735.0000,48,94,726200,15087.2576
107,15,58,262552,4526.7586,61,94,243480,4020.0330
108,15,40,192120,4803.0000,43,67,545220,12620.8333
109,15,0,0,0.0000,17,26,80600,4713.4503
110,15,24,147808,6158.6667,27,60,529600,19614.8148
112,15,65,133315,2051.0000,66,85,282180,4247.5665
113,15,24,78650,3277.0833,25,32,83400,3404.0816
114,15,16,34501,2156.3125,15,15,30070,1961.0870
115,15,65,332150,5110.0000,67,89,267900,4012.4813
116,15,28,160341,5726.4643,31,53,607060,19688.4324
117,15,60,139740,2329.0000,60,82,162760,2700.6637
118,15,9,24490,2721.1111,10,16,27900,2799.3311
119,15,62,511624,8252.0000,67,136,1013900,15208.5000
