account_id,date,yr,mon,min_balance,max_balance
1,1995-03-24,1995,3,1000,1000
1,1995-04-13,1995,4,4679,17298
1,1995-05-13,1995,5,20977,23156
1,1995-06-13,1995,6,26635,26835
1,1995-07-13,1995,7,25115,30415
1,1995-08-13,1995,8,21403,28903
1,1995-09-13,1995,9,19035,22714
1,1995-10-13,1995,10,19639,23318
1,1995-11-13,1995,11,18042,21721
1,1995-12-13,1995,12,16570,20249
1,1996-01-13,1996,1,13530,17963
1,1996-02-13,1996,2,11128,14966
1,1996-03-13,1996,3,12500,16444
1,1996-04-13,1996,4,13978,17657
1,1996-05-13,1996,5,13258,16937
1,1996-06-13,1996,6,11973,17052
1,1996-07-13,1996,7,14291,18970
1,1996-08-13,1996,8,14447,20526
1,1996-09-13,1996,9,16725,20404
1,1996-10-13,1996,10,16316,19995
1,1996-11-13,1996,11,14332,18011
1,1996-12-13,1996,12,12615,16495
1,1997-01-13,1997,1,10208,15087
1,1997-02-13,1997,2,10366,15745
1,1997-03-13,1997,3,11215,15815
1,1997-04-13,1997,4,8801,12529
1,1997-05-13,1997,5,10063,13742
1,1997-06-13,1997,6,10159,13893
1,1997-07-13,1997,7,11427,16670
1,1997-08-13,1997,8,13003,16682
1,1997-09-13,1997,9,13023,16767
1,1997-10-13,1997,10,14300,18051
1,1997-11-13,1997,11,14485,18236
1,1997-12-13,1997,12,11070,15770
1,1998-01-13,1998,1,11674,15353
1,1998-02-13,1998,2,10722,14957
1,1998-03-13,1998,3,12491,16170
1,1998-04-13,1998,4,11906,15585
1,1998-05-13,1998,5,12998,16744
1,1998-06-13,1998,6,14278,17957
1,1998-07-13,1998,7,15111,18866
1,1998-08-13,1998,8,16129,19885
1,1998-09-13,1998,9,10919,14657
1,1998-10-13,1998,10,12190,15932
1,1998-11-13,1998,11,13465,17144
1,1998-12-13,1998,12,9735,13467
2,1993-02-26,1993,2,1100,1100
2,1993-03-12,1993,3,21336,25050
2,1993-04-12,1993,4,34286,45286
2,1993-05-12,1993,5,37031,54631
2,1993-06-12,1993,6,45130,67530
2,1993-07-12,1993,7,38881,62326
2,1993-08-12,1993,8,26853,49139
2,1993-09-12,1993,9,19726,39962
2,1993-10-12,1993,10,10508,30744
2,1993-11-12,1993,11,20564,40800
2,1993-12-12,1993,12,16859,47213
2,1994-01-12,1994,1,19938,40811
2,1994-02-12,1994,2,12773,33009
2,1994-03-12,1994,3,18964,39200
2,1994-04-12,1994,4,23776,44012
2,1994-05-12,1994,5,20172,46144
2,1994-06-12,1994,6,13027,43381
2,1994-07-12,1994,7,18454,38690
2,1994-08-12,1994,8,23658,43894
2,1994-09-12,1994,9,25584,45820
