account_id,D_total_count,D_Total_Months,Total_D,D_monthly_average,D_min_val,D_max_val,D_count_of_the_mode,D_amount_mode,Pension,Base_Salary,Peak_Salary
1,12,35,25700,734.2857,100,12600,2,1000,0,3679,3679
2,12,62,48400,780.6452,200,10200,0,,0,20236,30354
3,28,17,170989,9826.9540,200,11253,15,7502,0,0,0
4,1,0,800,0.0000,800,800,0,,5553,0,0
5,1,0,600,0.0000,600,600,0,,5017,0,0
6,1,0,900,0.0000,900,900,0,,6669,0,0
7,26,25,623775,25186.0700,900,33975,20,22650,0,0,0
8,45,39,885084,22636.4194,200,30712,32,20475,0,0,0
9,112,72,352557,4928.5694,200,45691,73,800,0,0,0
10,31,28,544423,19513.3692,700,26529,23,17686,0,0,0
11,1,0,300,0.0000,300,300,0,,0,3494,3494
12,1,0,1100,0.0000,1100,1100,0,,5938,0,0
13,1,0,1000,0.0000,1000,1000,0,,6803,0,0
14,27,25,408445,16491.7227,400,22137,20,14758,0,0,0
15,66,63,1178458,18695.7906,800,25598,52,17065,0,0,0
16,17,15,345678,23622.6424,500,31262,12,20841,0,0,0
17,16,23,251244,10721.6501,100,49483,0,,0,0,0
18,96,68,1893128,27949.7244,200,47679,2,5600,0,0,0
19,17,29,45800,1579.3103,400,6500,3,2600,0,15139,22708
20,1,0,500,0.0000,500,500,0,,0,3005,3005
21,21,12,174019,14224.9864,1100,14123,10,9415,0,0,0
22,61,58,1057631,18393.5826,1100,25310,47,16873,0,0,0
23,70,68,1624224,24038.8357,200,33132,55,22088,0,0,0
24,27,24,351970,14444.7332,1000,18926,20,12617,0,0,0
25,54,29,1488172,51672.6389,900,49734,0,,0,0,0
26,3,13,3300,253.8462,800,1300,0,,0,24802,37203
27,72,63,612344,9673.6809,100,12940,52,8627,0,0,0
29,51,49,955223,19401.9567,700,26667,40,17778,0,0,0
30,86,47,2294752,49278.8547,400,49290,0,,0,0,0
31,109,53,2898893,54593.0885,800,49940,0,,0,0,0
32,42,40,725738,18128.3430,700,24822,33,16548,0,0,0
33,67,64,1652341,25670.7561,600,35384,53,23589,0,0,0
34,1,0,600,0.0000,600,600,0,,0,31845,47768
35,1,0,600,0.0000,600,600,0,,5446,0,0
36,68,66,1423918,21541.8759,500,29778,55,19852,0,0,0
37,19,16,494494,30524.3210,900,49437,0,,0,0,0
38,14,16,49700,3106.2500,200,8500,2,6600,0,13841,20762
39,1,0,1100,0.0000,1100,1100,0,,6474,0,0
40,71,62,459285,7380.0482,700,9753,51,6502,0,0,0
41,19,17,324202,19491.1022,800,25938,14,17292,0,0,0
42,35,28,307233,10869.0920,800,13659,23,9106,0,0,0
43,57,55,1436880,26204.4985,1100,35862,45,23908,0,0,0
44,1,0,400,0.0000,400,400,0,,4200,0,0
45,25,16,77931,4995.5769,200,25455,16,1600,0,0,0
47,3,18,8500,472.2222,300,4800,0,,0,35257,52886
48,27,25,628885,24988.8079,700,34221,20,22814,0,0,0
49,1,0,300,0.0000,300,300,0,,4654,0,0
50,61,56,992330,17709.6371,900,24195,46,16130,0,0,0
51,32,31,702325,22390.8077,800,30950,25,20633,0,0,0
52,2,22,1100,50.0000,200,900,0,,0,25530,38295
53,1,0,700,0.0000,700,700,0,,4277,0,0
54,1,0,1000,0.0000,1000,1000,0,,0,3421,3421
55,1,0,300,0.0000,300,300,0,,4629,0,0
56,63,56,902185,16245.8283,600,21890,45,14593,0,0,0
57,44,43,1002176,23216.4324,700,31962,35,21308,0,0,0
58,1,0,600,0.0000,600,600,0,,5804,0,0
59,66,57,930841,16292.4329,300,21424,47,14283,0,0,0
61,1,0,700,0.0000,700,700,0,,4019,0,0
62,1,0,1100,0.0000,1100,1100,0,,5079,0,0
63,1,0,600,0.0000,600,600,0,,5024,0,0
64,11,21,117148,5578.4762,200,34850,0,,0,0,0
65,27,26,701415,27399.0234,600,36885,21,24590,0,0,0
66,1,0,400,0.0000,400,400,0,,0,44713,67070
67,2,34,6800,200.0000,700,6100,0,,0,41490,62235
68,2,45,9000,200.0000,200,8800,0,,0,35557,53336
69,87,36,278001,7772.6281,300,43725,37,500,0,0,0
70,55,46,471846,10213.1169,100,13630,38,9087,0,0,0
71,60,58,1369576,23613.3793,700,32576,48,21717,0,0,0
72,61,30,1648906,55706.2838,1100,49740,0,,0,0,0
73,66,62,1301198,20998.3540,400,28667,51,19111,0,0,0
75,42,40,551525,13651.6089,700,18825,33,12550,0,0,0
76,42,31,296245,9515.3640,100,11720,25,7813,0,0,0
77,2,1,1100,0.0000,400,700,0,,0,17090,25635
78,71,66,1263277,19101.9708,100,26217,55,17478,0,0,0
79,1,0,600,0.0000,600,600,0,,4182,0,0
80,1,0,900,0.0000,900,900,0,,0,3378,3378
81,16,28,43200,1542.8571,100,9300,0,,0,3084,3084
82,88,57,2449596,43355.6814,300,49581,0,,0,0,0
83,79,69,719124,10472.6796,200,13839,56,9226,0,0,0
84,57,37,1233383,33668.3258,900,48660,2,11600,0,0,0
85,33,21,179151,8613.0288,400,8945,17,5963,0,0,0
86,1,0,800,0.0000,800,800,0,,0,3243,3243
88,1,0,300,0.0000,300,300,0,,0,3403,3403
89,18,15,96857,6634.0411,600,12000,12,4858,0,0,0
90,56,54,1423701,26446.4582,500,36459,45,24306,0,0,0
91,18,23,264661,11440.6772,300,45770,0,,0,0,0
93,36,31,257992,8458.7541,500,10782,25,7188,0,0,0
95,47,45,1172919,26007.0732,200,35890,37,23927,0,0,0
96,6,66,36300,550.0000,1100,16400,0,,0,44221,66332
97,35,32,635480,20004.6170,900,26892,26,17928,0,0,0
98,1,0,1100,0.0000,1100,1100,0,,4557,0,0
99,52,40,1250922,31273.0500,600,49889,0,,0,0,0
100,85,60,873220,14529.4509,200,17837,50,11891,0,0,0
101,39,32,669940,20848.7552,1000,26796,26,17864,0,0,0
102,60,63,900386,14406.1760,100,48218,2,7600,0,0,0
103,38,33,867846,26458.7195,1000,48308,2,1700,0,0,0
104,1,0,500,0.0000,500,500,0,,0,3063,3063
105,14,17,252833,14872.5294,800,49101,0,,0,0,0
106,50,49,950932,19301.7321,500,26648,40,17765,0,0,0
107,90,62,542660,8752.5806,100,10600,51,6832,0,0,0
108,49,46,784651,17169.6061,800,23555,37,15703,0,0,0
109,50,20,119887,5925.2224,1100,16920,20,1800,0,0,0
110,32,29,745897,25457.2355,500,35157,24,23438,0,0,0
112,1,0,200,0.0000,200,200,0,,6582,0,0
113,1,0,600,0.0000,600,600,0,,6417,0,0
114,1,0,500,0.0000,500,500,0,,4234,0,0
115,89,70,625581,8983.9301,600,11498,57,7665,0,0,0
116,35,33,835731,25248.6707,800,34685,27,23123,0,0,0
