account_id,IN,OUT,B,Months_Count,IN/M,OUT/M,B/M
1,194322,180870,13452,45,4318.266666666666,4019.3333333333335,298.93333333333334
2,1597055,1554459,42596,70,22815.071428571428,22206.557142857142,608.5142857142857
3,173062,121968,51094,17,10180.117647058823,7174.588235294118,3005.529411764706
4,192349,158637,33712,34,5657.323529411765,4665.794117647059,991.5294117647059
5,97489,69402,28087,19,5131.0,3652.7368421052633,1478.2631578947369
6,347616,299968,47648,51,6816.0,5881.725490196079,934.2745098039215
7,630267,561780,68487,25,25210.68,22471.2,2739.48
8,892765,820158,72607,39,22891.410256410258,21029.69230769231,1861.7179487179487
9,360153,336305,23848,71,5072.577464788732,4736.69014084507,335.88732394366195
10,549951,490664,59287,28,19641.10714285714,17523.714285714286,2117.3928571428573
11,140646,117470,23176,38,3701.2105263157896,3091.315789473684,609.8947368421053
12,121433,95325,26108,20,6071.65,4766.25,1305.4
13,110720,97499,13221,16,6920.0,6093.6875,826.3125
14,412588,373280,39308,25,16503.52,14931.2,1572.32
15,1188501,1141098,47403,62,19169.370967741936,18404.8064516129,764.5645161290323
16,347217,314190,33027,15,23147.8,20946.0,2201.8
17,255462,157586,97876,23,11107.04347826087,6851.565217391304,4255.478260869565
18,1905134,1823570,81564,67,28434.83582089552,27217.462686567163,1217.3731343283582
19,793196,782336,10860,44,18027.18181818182,17780.363636363636,246.8181818181818
20,86224,68537,17687,28,3079.4285714285716,2447.75,631.6785714285714
21,175834,122604,53230,12,14652.833333333334,10217.0,4435.833333333333
22,1067606,1031884,35722,57,18729.929824561405,18103.22807017544,626.7017543859649
23,1639485,1556404,83081,67,24469.925373134327,23229.910447761195,1240.0149253731342
24,354861,333282,21579,24,14785.875,13886.75,899.125
25,1494375,1464181,30194,29,51530.1724137931,50489.0,1041.1724137931035
26,1761407,1709657,51750,64,27521.984375,26713.390625,808.59375
27,618580,586402,32178,63,9818.730158730159,9307.968253968254,510.76190476190476
29,961742,924209,37533,49,19627.38775510204,18861.408163265307,765.9795918367347
30,2302980,2258841,44139,45,51177.333333333336,50196.46666666667,980.8666666666667
31,2910489,2897211,13278,55,52917.98181818182,52676.56363636364,241.4181818181818
32,734334,644625,89709,40,18358.35,16115.625,2242.725
33,1672201,1559813,112388,64,26128.140625,24372.078125,1756.0625
34,2196376,2146258,50118,63,34863.11111111111,34067.5873015873,795.5238095238095
35,359359,338634,20725,65,5528.6,5209.753846153846,318.84615384615387
36,1436080,1356953,79127,65,22093.53846153846,20876.2,1217.3384615384616
37,497029,451130,45899,16,31064.3125,28195.625,2868.6875
38,308266,263686,44580,16,19266.625,16480.375,2786.25
39,414931,398635,16296,63,6586.206349206349,6327.539682539683,258.6666666666667
40,464911,441227,23684,62,7498.564516129032,7116.564516129032,382.0
41,327943,227180,100763,16,20496.4375,14198.75,6297.6875
42,310492,284514,25978,28,11089.0,10161.214285714286,927.7857142857143
43,1451227,1390480,60747,54,26874.574074074073,25749.62962962963,1124.9444444444443
44,286629,262812,23817,67,4278.044776119403,3922.5671641791046,355.4776119402985
45,79639,53765,25874,15,5309.266666666666,3584.3333333333335,1724.9333333333334
47,2506331,2427593,78738,64,39161.421875,37931.140625,1230.28125
48,634071,563160,70911,25,25362.84,22526.4,2836.44
49,99237,83932,15305,20,4961.85,4196.6,765.25
50,1001520,915408,86112,55,18209.454545454544,16643.78181818182,1565.6727272727273
51,710284,612070,98214,31,22912.387096774193,19744.1935483871,3168.1935483870966
52,642934,621779,21155,23,27953.652173913044,27033.869565217392,919.7826086956521
