account_id,D_total_count,D_Total_Years,D_monthly_average,D_min_val,D_max_val,D_count_of_the_mode,D_amount_mode,pension,base_salary,peak_salary
1,12,3,734.2857,100,12600,2,1000,NULL,3679,3679
2,12,5,780.6452,200,10200,0,,NULL,20236,30354
3,28,1,9826.9540,200,11253,15,7502,NULL,NULL,NULL
4,1,0,NULL,800,800,0,,5553,NULL,NULL
5,1,0,NULL,600,600,0,,5017,NULL,NULL
6,1,0,NULL,900,900,0,,6669,NULL,NULL
7,26,2,25186.0700,900,33975,20,22650,NULL,NULL,NULL
8,45,3,22636.4194,200,30712,32,20475,NULL,NULL,NULL
9,112,6,4928.5694,200,45691,73,800,NULL,NULL,NULL
10,31,2,19513.3692,700,26529,23,17686,NULL,NULL,NULL
11,1,0,NULL,300,300,0,,NULL,3494,3494
12,1,0,NULL,1100,1100,0,,5938,NULL,NULL
13,1,0,NULL,1000,1000,0,,6803,NULL,NULL
14,27,2,16491.7227,400,22137,20,14758,NULL,NULL,NULL
15,66,5,18695.7906,800,25598,52,17065,NULL,NULL,NULL
16,17,1,23622.6424,500,31262,12,20841,NULL,NULL,NULL
17,16,2,10721.6501,100,49483,0,,NULL,NULL,NULL
18,96,6,27949.7244,200,47679,2,5600,NULL,NULL,NULL
19,17,2,1579.3103,400,6500,3,2600,NULL,15139,22708
20,1,0,NULL,500,500,0,,NULL,3005,3005
21,21,1,14224.9864,1100,14123,10,9415,NULL,NULL,NULL
22,61,5,18393.5826,1100,25310,47,16873,NULL,NULL,NULL
23,70,6,24038.8357,200,33132,55,22088,NULL,NULL,NULL
24,27,2,14444.7332,1000,18926,20,12617,NULL,NULL,NULL
25,54,2,51672.6389,900,49734,0,,NULL,NULL,NULL
26,3,1,253.8462,800,1300,0,,NULL,24802,37203
27,72,5,9673.6809,100,12940,52,8627,NULL,NULL,NULL
29,51,4,19401.9567,700,26667,40,17778,NULL,NULL,NULL
30,86,4,49278.8547,400,49290,0,,NULL,NULL,NULL
31,109,4,54593.0885,800,49940,0,,NULL,NULL,NULL
32,42,3,18128.3430,700,24822,33,16548,NULL,NULL,NULL
33,67,5,25670.7561,600,35384,53,23589,NULL,NULL,NULL
34,1,0,NULL,600,600,0,,NULL,31845,47768
35,1,0,NULL,600,600,0,,5446,NULL,NULL
36,68,5,21541.8759,500,29778,55,19852,NULL,NULL,NULL
37,19,1,30524.3210,900,49437,0,,NULL,NULL,NULL
38,14,1,3106.2500,200,8500,2,6600,NULL,13841,20762
39,1,0,NULL,1100,1100,0,,6474,NULL,NULL
40,71,5,7380.0482,700,9753,51,6502,NULL,NULL,NULL
41,19,1,19491.1022,800,25938,14,17292,NULL,NULL,NULL
42,35,2,10869.0920,800,13659,23,9106,NULL,NULL,NULL
43,57,5,26204.4985,1100,35862,45,23908,NULL,NULL,NULL
44,1,0,NULL,400,400,0,,4200,NULL,NULL
45,25,1,4995.5769,200,25455,16,1600,NULL,NULL,NULL
47,3,1,472.2222,300,4800,0,,NULL,35257,52886
48,27,2,24988.8079,700,34221,20,22814,NULL,NULL,NULL
49,1,0,NULL,300,300,0,,4654,NULL,NULL
50,61,5,17709.6371,900,24195,46,16130,NULL,NULL,NULL
51,32,3,22390.8077,800,30950,25,20633,NULL,NULL,NULL
52,2,2,50.0000,200,900,0,,NULL,25530,38295
53,1,0,NULL,700,700,0,,4277,NULL,NULL
54,1,0,NULL,1000,1000,0,,NULL,3421,3421
55,1,0,NULL,300,300,0,,4629,NULL,NULL
56,63,5,16245.8283,600,21890,45,14593,NULL,NULL,NULL
57,44,4,23216.4324,700,31962,35,21308,NULL,NULL,NULL
58,1,0,NULL,600,600,0,,5804,NULL,NULL
59,66,5,16292.4329,300,21424,47,14283,NULL,NULL,NULL
61,1,0,NULL,700,700,0,,4019,NULL,NULL
62,1,0,NULL,1100,1100,0,,5079,NULL,NULL
63,1,0,NULL,600,600,0,,5024,NULL,NULL
64,11,2,5578.4762,200,34850,0,,NULL,NULL,NULL
65,27,2,27399.0234,600,36885,21,24590,NULL,NULL,NULL
66,1,0,NULL,400,400,0,,NULL,44713,67070
67,2,3,200.0000,700,6100,0,,NULL,41490,62235
68,2,4,200.0000,200,8800,0,,NULL,35557,53336
69,87,3,7772.6281,300,43725,37,500,NULL,NULL,NULL
70,55,4,10213.1169,100,13630,38,9087,NULL,NULL,NULL
71,60,5,23613.3793,700,32576,48,21717,NULL,NULL,NULL
72,61,2,55706.2838,1100,49740,0,,NULL,NULL,NULL
73,66,5,20998.3540,400,28667,51,19111,NULL,NULL,NULL
75,42,3,13651.6089,700,18825,33,12550,NULL,NULL,NULL
76,42,3,9515.3640,100,11720,25,7813,NULL,NULL,NULL
77,2,0,1100.0000,400,700,0,,NULL,17090,25635
78,71,5,19101.9708,100,26217,55,17478,NULL,NULL,NULL
79,1,0,NULL,600,600,0,,4182,NULL,NULL
80,1,0,NULL,900,900,0,,NULL,3378,3378
81,16,2,1542.8571,100,9300,0,,NULL,3084,3084
82,88,5,43355.6814,300,49581,0,,NULL,NULL,NULL
83,79,6,10472.6796,200,13839,56,9226,NULL,NULL,NULL
84,57,3,33668.3258,900,48660,2,11600,NULL,NULL,NULL
85,33,2,8613.0288,400,8945,17,5963,NULL,NULL,NULL
86,1,0,NULL,800,800,0,,NULL,3243,3243
88,1,0,NULL,300,300,0,,NULL,3403,3403
89,18,1,6634.0411,600,12000,12,4858,NULL,NULL,NULL
90,56,4,26446.4582,500,36459,45,24306,NULL,NULL,NULL
