account_id,Loan,LoanStatus,LoanDate,LoanDuration,LoanPayments,loanAmount
2,YES,A,1994-01-05,24,3373.00,80952
17,NO,NULL,NULL,NULL,NULL,NULL
22,NO,NULL,NULL,NULL,NULL,NULL
36,NO,NULL,NULL,NULL,NULL,NULL
49,NO,NULL,NULL,NULL,NULL,NULL
50,NO,NULL,NULL,NULL,NULL,NULL
57,NO,NULL,NULL,NULL,NULL,NULL
71,NO,NULL,NULL,NULL,NULL,NULL
72,NO,NULL,NULL,NULL,NULL,NULL
75,NO,NULL,NULL,NULL,NULL,NULL
90,NO,NULL,NULL,NULL,NULL,NULL
95,NO,NULL,NULL,NULL,NULL,NULL
99,NO,NULL,NULL,NULL,NULL,NULL
152,NO,NULL,NULL,NULL,NULL,NULL
177,NO,NULL,NULL,NULL,NULL,NULL
179,NO,NULL,NULL,NULL,NULL,NULL
186,NO,NULL,NULL,NULL,NULL,NULL
197,NO,NULL,NULL,NULL,NULL,NULL
205,NO,NULL,NULL,NULL,NULL,NULL
225,NO,NULL,NULL,NULL,NULL,NULL
229,NO,NULL,NULL,NULL,NULL,NULL
230,NO,NULL,NULL,NULL,NULL,NULL
248,NO,NULL,NULL,NULL,NULL,NULL
271,NO,NULL,NULL,NULL,NULL,NULL
281,NO,NULL,NULL,NULL,NULL,NULL
289,NO,NULL,NULL,NULL,NULL,NULL
293,NO,NULL,NULL,NULL,NULL,NULL
300,NO,NULL,NULL,NULL,NULL,NULL
322,NO,NULL,NULL,NULL,NULL,NULL
324,NO,NULL,NULL,NULL,NULL,NULL
328,NO,NULL,NULL,NULL,NULL,NULL
334,NO,NULL,NULL,NULL,NULL,NULL
340,NO,NULL,NULL,NULL,NULL,NULL
363,NO,NULL,NULL,NULL,NULL,NULL
364,NO,NULL,NULL,NULL,NULL,NULL
366,NO,NULL,NULL,NULL,NULL,NULL
386,NO,NULL,NULL,NULL,NULL,NULL
392,NO,NULL,NULL,NULL,NULL,NULL
395,NO,NULL,NULL,NULL,NULL,NULL
399,NO,NULL,NULL,NULL,NULL,NULL
403,NO,NULL,NULL,NULL,NULL,NULL
409,NO,NULL,NULL,NULL,NULL,NULL
414,NO,NULL,NULL,NULL,NULL,NULL
426,YES,D,1994-07-19,60,4201.00,252060
428,NO,NULL,NULL,NULL,NULL,NULL
434,NO,NULL,NULL,NULL,NULL,NULL
460,NO,NULL,NULL,NULL,NULL,NULL
477,NO,NULL,NULL,NULL,NULL,NULL
479,NO,NULL,NULL,NULL,NULL,NULL
484,NO,NULL,NULL,NULL,NULL,NULL
498,NO,NULL,NULL,NULL,NULL,NULL
502,NO,NULL,NULL,NULL,NULL,NULL
503,NO,NULL,NULL,NULL,NULL,NULL
510,NO,NULL,NULL,NULL,NULL,NULL
523,NO,NULL,NULL,NULL,NULL,NULL
534,NO,NULL,NULL,NULL,NULL,NULL
542,NO,NULL,NULL,NULL,NULL,NULL
557,NO,NULL,NULL,NULL,NULL,NULL
573,NO,NULL,NULL,NULL,NULL,NULL
579,NO,NULL,NULL,NULL,NULL,NULL
589,NO,NULL,NULL,NULL,NULL,NULL
591,NO,NULL,NULL,NULL,NULL,NULL
598,NO,NULL,NULL,NULL,NULL,NULL
612,NO,NULL,NULL,NULL,NULL,NULL
618,NO,NULL,NULL,NULL,NULL,NULL
619,NO,NULL,NULL,NULL,NULL,NULL
623,NO,NULL,NULL,NULL,NULL,NULL
639,NO,NULL,NULL,NULL,NULL,NULL
647,NO,NULL,NULL,NULL,NULL,NULL
664,NO,NULL,NULL,NULL,NULL,NULL
689,NO,NULL,NULL,NULL,NULL,NULL
699,NO,NULL,NULL,NULL,NULL,NULL
718,YES,A,1997-08-20,12,6412.00,76944
754,NO,NULL,NULL,NULL,NULL,NULL
760,NO,NULL,NULL,NULL,NULL,NULL
763,NO,NULL,NULL,NULL,NULL,NULL
764,NO,NULL,NULL,NULL,NULL,NULL
774,NO,NULL,NULL,NULL,NULL,NULL
775,NO,NULL,NULL,NULL,NULL,NULL
783,NO,NULL,NULL,NULL,NULL,NULL
796,NO,NULL,NULL,NULL,NULL,NULL
798,NO,NULL,NULL,NULL,NULL,NULL
812,NO,NULL,NULL,NULL,NULL,NULL
828,NO,NULL,NULL,NULL,NULL,NULL
841,NO,NULL,NULL,NULL,NULL,NULL
849,NO,NULL,NULL,NULL,NULL,NULL
853,NO,NULL,NULL,NULL,NULL,NULL
855,NO,NULL,NULL,NULL,NULL,NULL
860,NO,NULL,NULL,NULL,NULL,NULL
868,NO,NULL,NULL,NULL,NULL,NULL
871,NO,NULL,NULL,NULL,NULL,NULL
877,NO,NULL,NULL,NULL,NULL,NULL
883,NO,NULL,NULL,NULL,NULL,NULL
885,NO,NULL,NULL,NULL,NULL,NULL
886,NO,NULL,NULL,NULL,NULL,NULL
887,NO,NULL,NULL,NULL,NULL,NULL
904,NO,NULL,NULL,NULL,NULL,NULL
910,NO,NULL,NULL,NULL,NULL,NULL
916,NO,NULL,NULL,NULL,NULL,NULL
943,NO,NULL,NULL,NULL,NULL,NULL
959,NO,NULL,NULL,NULL,NULL,NULL
961,NO,NULL,NULL,NULL,NULL,NULL
975,NO,NULL,NULL,NULL,NULL,NULL
